◇ injected env (10) from .dev.vars // tip: ⌘ enable debugging { debug: true }
Running 192 cases against gpt-5.4-nano lang=ko effort=high (threshold=0.7, dataset=evals/datasets/ko/classification.json)…

  FAIL  [base,c0]  base-0e16a037: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-20369901: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-7858066a: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-96b97d6a: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [base,c0]  base-92b81b7c: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-f2cae3fd: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-04beccff: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-d61c73e5: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [base,c0]  base-658111f3: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-3403e53b: expected=기술 강연 got=<bad_response> rule=기술 강연
  FAIL  [paraphrase,c0]  var-73ac7be8: expected=기술 강연 got=<error:OpenAI 400: {
  "error": {
  FAIL  [base,c2]  base-8b28a73f: expected=홈 웰니스 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8d7da9ce: expected=홈 웰니스 got=<error:OpenAI 400: {
  "error": {
    "message": "Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.",
    "type": "invalid_request_error",
    "p> rule=<miss>
  FAIL  [paraphrase,c2]  var-6e787f49: expected=홈 웰니스 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8076922f: expected=홈 웰니스 got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-5e1dc511: expected=협업 세션 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-5124d442: expected=협업 세션 got=<bad_response> rule=사교 일정
  FAIL  [paraphrase,c3]  var-b767c50a: expected=협업 세션 got=<bad_response> rule=사교 일정
  FAIL  [paraphrase,c3]  var-ad9223b1: expected=협업 세션 got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-8d6d4ec6: expected=협업 세션 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-5014257f: expected=협업 세션 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-708144db: expected=협업 세션 got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-23a9ce87: expected=협업 세션 got=<bad_response> rule=<miss>
